@RELATION MNIST_038_database

@ATTRIBUTE mean NUMERIC
@ATTRIBUTE var NUMERIC
@ATTRIBUTE proy_0-3 NUMERIC
@ATTRIBUTE proy_8-3 NUMERIC
@ATTRIBUTE proy_0-8 NUMERIC
@ATTRIBUTE class {cero,tres,ocho}

@DATA
0.247,0.164,42.969,6.051,36.918,cero
0.219,0.146,38.331,2.389,35.942,cero
0.183,0.126,38.030,4.474,33.556,cero
0.220,0.145,29.328,4.433,24.895,cero
0.185,0.128,20.658,0.942,19.717,cero
0.158,0.110,31.266,1.555,29.711,cero
0.208,0.142,33.460,1.839,31.621,cero
0.222,0.145,40.428,1.970,38.458,cero
0.213,0.144,25.369,-2.278,27.647,cero
0.170,0.118,31.473,2.170,29.302,cero
0.128,0.090,28.386,6.092,22.294,cero
0.203,0.140,37.727,3.487,34.241,cero
0.158,0.109,21.925,-2.977,24.902,cero
0.216,0.144,33.968,1.920,32.048,cero
0.127,0.091,17.628,4.088,13.540,cero
0.182,0.128,13.382,2.327,11.055,cero
0.191,0.129,35.658,1.812,33.847,cero
0.154,0.111,16.127,5.539,10.588,cero
0.187,0.128,27.772,3.991,23.781,cero
0.169,0.124,20.732,-1.955,22.686,cero
0.149,0.105,25.246,1.584,23.662,cero
0.174,0.117,17.293,-2.486,19.779,cero
0.175,0.123,32.044,0.404,31.639,cero
0.192,0.135,26.732,7.048,19.683,cero
0.135,0.095,19.638,3.104,16.534,cero
0.129,0.092,16.928,2.890,14.039,cero
0.156,0.116,17.012,1.031,15.981,cero
0.158,0.111,17.409,2.597,14.813,cero
0.191,0.133,32.001,-0.560,32.561,cero
0.191,0.132,29.241,-0.764,30.005,cero
0.160,0.112,25.115,1.399,23.716,cero
0.175,0.121,31.676,-0.579,32.255,cero
0.204,0.141,14.873,11.743,3.130,cero
0.184,0.126,29.726,-0.724,30.450,cero
0.222,0.151,34.548,-1.834,36.382,cero
0.209,0.143,26.615,-0.995,27.610,cero
0.167,0.122,7.833,4.400,3.433,cero
0.214,0.143,34.764,-1.458,36.223,cero
0.182,0.125,34.712,-0.004,34.716,cero
0.166,0.114,19.333,-4.643,23.977,cero
0.121,0.085,22.347,2.027,20.320,cero
0.194,0.141,31.839,4.091,27.749,cero
0.198,0.141,21.925,-2.398,24.323,cero
0.215,0.146,30.009,1.989,28.019,cero
0.170,0.119,31.455,2.679,28.777,cero
0.146,0.102,17.473,-1.023,18.496,cero
0.224,0.150,28.861,4.462,24.399,cero
0.153,0.107,23.701,5.242,18.459,cero
0.156,0.108,18.254,6.598,11.656,cero
0.177,0.123,24.858,-0.696,25.554,cero
0.128,0.092,8.308,4.504,3.803,cero
0.185,0.129,29.754,4.970,24.784,cero
0.133,0.095,15.309,5.187,10.122,cero
0.133,0.095,11.809,1.600,10.209,cero
0.136,0.095,19.922,-0.979,20.901,cero
0.154,0.108,16.568,1.903,14.665,cero
0.130,0.093,17.175,1.678,15.497,cero
0.158,0.112,21.720,3.905,17.815,cero
0.121,0.088,16.904,5.962,10.942,cero
0.129,0.091,15.529,-1.491,17.020,cero
0.175,0.123,22.550,-0.417,22.967,cero
0.152,0.104,18.242,1.417,16.824,cero
0.133,0.091,14.200,-3.840,18.040,cero
0.209,0.139,32.975,2.113,30.862,cero
0.089,0.058,11.975,1.619,10.356,cero
0.111,0.079,21.225,0.122,21.103,cero
0.171,0.123,13.513,-1.026,14.539,cero
0.182,0.123,30.579,0.009,30.570,cero
0.132,0.090,26.777,1.859,24.918,cero
0.153,0.103,27.041,0.230,26.811,cero
0.110,0.072,12.952,-3.777,16.729,cero
0.159,0.109,28.033,1.841,26.191,cero
0.123,0.086,17.407,2.037,15.369,cero
0.133,0.092,5.728,1.434,4.293,cero
0.156,0.109,27.041,2.001,25.040,cero
0.067,0.042,6.760,1.838,4.922,cero
0.246,0.165,31.734,6.456,25.278,cero
0.223,0.152,24.273,6.664,17.610,cero
0.270,0.174,37.650,8.928,28.722,cero
0.175,0.125,19.771,8.622,11.149,cero
0.170,0.118,18.810,-2.502,21.312,cero
0.178,0.116,21.956,0.859,21.098,cero
0.159,0.112,28.404,8.236,20.168,cero
0.210,0.147,18.316,3.825,14.491,cero
0.224,0.152,24.333,5.619,18.714,cero
0.222,0.150,42.684,13.348,29.335,cero
0.298,0.189,42.843,3.270,39.573,cero
0.190,0.128,32.296,2.214,30.082,cero
0.285,0.183,34.879,3.320,31.559,cero
0.224,0.152,36.842,2.208,34.633,cero
0.225,0.159,10.662,4.143,6.518,cero
0.171,0.118,28.644,1.576,27.068,cero
0.226,0.158,9.951,7.796,2.155,cero
0.192,0.133,34.209,1.158,33.051,cero
0.160,0.114,18.628,7.203,11.425,cero
0.194,0.134,27.039,-1.703,28.743,cero
0.139,0.100,7.988,-0.448,8.437,cero
0.211,0.142,32.836,-0.405,33.240,cero
0.216,0.147,34.858,1.903,32.955,cero
0.228,0.153,39.561,5.795,33.766,cero
0.266,0.173,30.206,1.111,29.095,cero
0.190,0.129,32.321,7.776,24.545,cero
0.177,0.124,28.769,-0.589,29.358,cero
0.139,0.104,-8.962,4.381,-13.343,cero
0.227,0.152,37.503,6.753,30.751,cero
0.140,0.096,21.482,-0.557,22.040,cero
0.166,0.115,23.579,-1.058,24.637,cero
0.194,0.133,32.964,4.684,28.280,cero
0.191,0.135,20.312,4.492,15.820,cero
0.144,0.097,19.469,-1.345,20.814,cero
0.166,0.116,24.494,1.924,22.570,cero
0.114,0.081,-0.146,0.494,-0.640,cero
0.157,0.112,31.030,3.140,27.890,cero
0.149,0.105,24.779,2.115,22.664,cero
0.138,0.095,28.358,2.457,25.901,cero
0.147,0.100,24.711,2.071,22.640,cero
0.190,0.130,26.201,-0.557,26.758,cero
0.227,0.151,42.466,2.710,39.756,cero
0.232,0.154,43.184,6.201,36.983,cero
0.175,0.121,15.256,0.330,14.926,cero
0.194,0.132,35.336,3.245,32.091,cero
0.204,0.142,35.769,2.484,33.285,cero
0.200,0.139,27.470,3.684,23.786,cero
0.210,0.138,33.852,1.729,32.123,cero
0.192,0.130,33.670,1.582,32.089,cero
0.194,0.133,31.555,1.635,29.920,cero
0.183,0.127,28.466,6.059,22.406,cero
0.152,0.105,27.503,1.079,26.424,cero
0.192,0.133,31.210,1.558,29.652,cero
0.185,0.127,37.512,2.641,34.872,cero
0.113,0.080,14.404,-1.079,15.483,cero
0.144,0.101,29.719,1.241,28.477,cero
0.147,0.099,20.854,0.462,20.392,cero
0.167,0.115,30.338,0.769,29.568,cero
0.210,0.145,44.131,7.828,36.303,cero
0.204,0.140,34.304,-1.598,35.902,cero
0.206,0.142,37.871,0.952,36.919,cero
0.169,0.119,33.462,4.564,28.898,cero
0.100,0.069,18.814,2.570,16.244,cero
0.185,0.128,26.887,1.460,25.427,cero
0.208,0.142,35.628,1.480,34.148,cero
0.079,0.053,2.916,2.187,0.729,cero
0.210,0.147,28.681,-1.332,30.013,cero
0.117,0.081,21.093,4.903,16.189,cero
0.223,0.151,32.007,-0.378,32.385,cero
0.229,0.161,35.949,2.878,33.071,cero
0.180,0.120,27.790,0.555,27.235,cero
0.195,0.134,33.203,0.984,32.219,cero
0.308,0.189,31.250,0.112,31.138,cero
0.228,0.155,27.202,-0.198,27.400,cero
0.249,0.165,47.438,8.424,39.014,cero
0.305,0.190,38.202,3.701,34.501,cero
0.285,0.184,41.752,2.514,39.238,cero
0.203,0.138,42.779,4.610,38.170,cero
0.143,0.100,20.974,-2.831,23.805,cero
0.099,0.070,7.590,1.435,6.155,cero
0.269,0.174,39.277,4.063,35.214,cero
0.176,0.124,22.460,2.602,19.858,cero
0.146,0.102,29.472,3.947,25.525,cero
0.214,0.146,30.657,-1.508,32.166,cero
0.189,0.131,34.794,-0.187,34.981,cero
0.180,0.128,16.826,-1.340,18.166,cero
0.163,0.121,22.293,-1.512,23.805,cero
0.194,0.134,24.947,-0.709,25.656,cero
0.172,0.122,18.682,3.926,14.756,cero
0.215,0.147,35.755,-0.883,36.638,cero
0.181,0.122,25.250,-0.613,25.863,cero
0.220,0.145,37.031,2.243,34.789,cero
0.147,0.106,10.743,9.053,1.689,cero
0.229,0.151,31.496,0.886,30.611,cero
0.129,0.088,10.695,-3.809,14.504,cero
0.186,0.130,28.037,0.581,27.456,cero
0.203,0.138,34.000,1.274,32.726,cero
0.237,0.158,33.846,-0.153,33.999,cero
0.200,0.138,31.145,-1.111,32.256,cero
0.161,0.116,6.456,3.242,3.213,cero
0.186,0.127,30.964,1.519,29.445,cero
0.096,0.063,12.728,2.848,9.880,cero
0.189,0.128,33.789,5.728,28.061,cero
0.181,0.128,27.744,0.661,27.083,cero
0.201,0.138,41.133,5.041,36.092,cero
0.135,0.094,13.424,-4.865,18.289,cero
0.135,0.097,20.010,2.718,17.291,cero
0.205,0.139,40.382,7.655,32.727,cero
0.174,0.121,32.711,2.269,30.442,cero
0.198,0.141,23.308,-3.351,26.659,cero
0.172,0.118,35.940,2.344,33.596,cero
0.123,0.086,22.989,-0.840,23.829,cero
0.219,0.146,39.865,2.773,37.092,cero
0.186,0.128,24.016,8.063,15.953,cero
0.097,0.067,11.286,2.372,8.914,cero
0.163,0.112,25.894,1.282,24.613,cero
0.204,0.145,38.527,3.157,35.370,cero
0.213,0.141,36.900,1.117,35.783,cero
0.180,0.125,27.518,3.165,24.353,cero
0.169,0.118,34.682,3.644,31.038,cero
0.213,0.146,41.640,5.190,36.450,cero
0.119,0.082,12.572,-4.634,17.206,cero
0.208,0.142,34.620,1.607,33.013,cero
0.196,0.129,26.811,3.978,22.833,cero
0.122,0.086,16.932,3.402,13.530,cero
0.231,0.153,39.138,3.072,36.066,cero
0.171,0.119,34.102,5.836,28.265,cero
0.172,0.121,18.269,-0.169,18.438,cero
0.156,0.107,27.779,0.103,27.676,cero
0.213,0.148,10.643,-0.045,10.688,cero
0.165,0.118,21.236,3.676,17.560,cero
0.170,0.121,15.242,-1.897,17.140,cero
0.211,0.139,31.913,0.271,31.642,cero
0.116,0.077,15.295,1.767,13.529,cero
0.144,0.105,15.914,1.493,14.421,cero
0.161,0.114,25.283,-0.538,25.821,cero
0.199,0.136,36.104,1.965,34.139,cero
0.174,0.124,28.981,3.954,25.026,cero
0.195,0.134,33.310,0.089,33.221,cero
0.137,0.096,26.346,2.115,24.231,cero
0.173,0.122,29.002,2.001,27.001,cero
0.165,0.118,9.453,2.613,6.839,cero
0.137,0.098,26.132,4.378,21.755,cero
0.185,0.130,30.155,0.802,29.353,cero
0.181,0.125,28.506,3.715,24.791,cero
0.123,0.083,16.336,-3.954,20.290,cero
0.114,0.080,17.672,7.253,10.419,cero
0.147,0.103,24.571,2.965,21.605,cero
0.177,0.125,35.676,1.226,34.450,cero
0.171,0.122,30.034,2.013,28.020,cero
0.132,0.097,18.772,6.961,11.811,cero
0.175,0.122,14.621,1.133,13.488,cero
0.126,0.081,24.821,1.085,23.736,cero
0.106,0.072,21.857,0.214,21.643,cero
0.129,0.091,23.520,0.621,22.899,cero
0.255,0.168,44.850,8.362,36.487,cero
0.163,0.111,27.588,3.638,23.950,cero
0.129,0.092,21.451,2.797,18.654,cero
0.159,0.110,34.657,6.309,28.348,cero
0.140,0.095,31.420,5.137,26.283,cero
0.154,0.111,1.957,4.973,-3.016,cero
0.191,0.134,28.311,1.335,26.976,cero
0.239,0.156,40.592,3.745,36.847,cero
0.188,0.130,27.736,-1.505,29.240,cero
0.183,0.127,31.505,1.138,30.368,cero
0.142,0.100,28.571,4.945,23.626,cero
0.131,0.094,16.506,1.723,14.783,cero
0.146,0.101,23.241,5.320,17.921,cero
0.149,0.102,23.630,-1.146,24.776,cero
0.168,0.117,34.763,4.962,29.801,cero
0.129,0.093,10.392,4.971,5.421,cero
0.169,0.116,25.188,-1.821,27.009,cero
0.171,0.119,28.027,-1.055,29.082,cero
0.202,0.138,31.884,0.587,31.297,cero
0.143,0.097,20.125,-1.245,21.370,cero
0.163,0.114,29.482,2.187,27.295,cero
0.201,0.137,38.186,2.895,35.291,cero
0.126,0.090,15.864,-1.643,17.506,cero
0.153,0.107,26.065,0.962,25.102,cero
0.289,0.177,28.854,1.564,27.289,cero
0.133,0.094,18.392,1.825,16.567,cero
0.176,0.120,19.657,2.007,17.650,cero
0.165,0.113,33.239,2.933,30.306,cero
0.149,0.104,27.300,0.750,26.550,cero
0.186,0.126,33.669,1.494,32.175,cero
0.160,0.114,31.578,3.564,28.014,cero
0.138,0.099,18.836,-1.506,20.342,cero
0.163,0.115,27.958,2.762,25.196,cero
0.206,0.143,32.191,-0.308,32.499,cero
0.184,0.129,27.290,4.309,22.981,cero
0.177,0.127,13.852,2.848,11.004,cero
0.195,0.138,11.909,-0.188,12.098,cero
0.172,0.119,17.155,2.492,14.663,cero
0.190,0.131,35.922,4.791,31.131,cero
0.204,0.141,22.944,-2.373,25.317,cero
0.219,0.151,26.873,-0.011,26.884,cero
0.161,0.113,13.441,0.001,13.439,cero
0.199,0.137,36.251,-0.222,36.472,cero
0.203,0.140,30.930,2.372,28.559,cero
0.188,0.129,32.386,2.354,30.033,cero
0.193,0.135,27.924,-0.805,28.728,cero
0.136,0.099,-2.764,-1.478,-1.285,cero
0.159,0.115,17.904,-1.669,19.573,cero
0.198,0.142,25.255,-0.099,25.355,cero
0.168,0.117,30.247,-0.297,30.544,cero
0.144,0.104,26.659,1.392,25.267,cero
0.198,0.135,31.974,5.663,26.311,cero
0.134,0.094,27.852,1.190,26.662,cero
0.161,0.110,23.225,-0.758,23.983,cero
0.164,0.116,27.858,2.452,25.406,cero
0.124,0.087,16.559,2.332,14.227,cero
0.114,0.080,4.368,0.337,4.031,cero
0.187,0.127,28.725,1.112,27.614,cero
0.125,0.090,7.346,5.392,1.953,cero
0.114,0.084,11.866,6.857,5.009,cero
0.215,0.146,29.872,3.847,26.026,cero
0.196,0.135,33.039,3.897,29.143,cero
0.228,0.151,39.071,1.074,37.997,cero
0.176,0.123,25.583,2.479,23.104,cero
0.179,0.124,37.853,3.137,34.716,cero
0.181,0.122,31.943,-1.301,33.244,cero
0.184,0.129,34.411,2.049,32.362,cero
0.194,0.134,32.532,3.135,29.397,cero
0.234,0.155,37.116,0.777,36.339,cero
0.198,0.137,34.516,6.072,28.443,cero
0.231,0.152,27.694,-2.320,30.014,cero
0.151,0.100,22.298,5.178,17.120,cero
0.219,0.145,29.100,1.840,27.260,cero
0.160,0.111,22.814,0.225,22.590,cero
0.198,0.134,36.100,2.152,33.948,cero
0.159,0.111,27.395,1.390,26.006,cero
0.171,0.116,22.209,-1.106,23.315,cero
0.211,0.141,32.996,1.105,31.891,cero
0.154,0.109,22.890,2.806,20.084,cero
0.174,0.121,17.170,-2.276,19.446,cero
0.183,0.120,30.301,5.284,25.017,cero
0.149,0.103,16.267,0.439,15.829,cero
0.169,0.116,22.118,0.877,21.241,cero
0.238,0.156,34.055,2.512,31.543,cero
0.164,0.118,30.597,0.751,29.846,cero
0.200,0.133,33.533,1.754,31.779,cero
0.209,0.140,30.435,-0.158,30.593,cero
0.213,0.149,12.749,2.553,10.197,cero
0.143,0.102,14.992,-5.691,20.683,cero
0.175,0.120,26.727,-0.142,26.868,cero
0.233,0.155,37.544,3.866,33.677,cero
0.192,0.131,30.230,0.727,29.503,cero
0.167,0.119,15.828,-1.034,16.861,cero
0.106,0.073,15.850,1.030,14.820,cero
0.197,0.134,26.991,-2.481,29.472,cero
0.195,0.131,29.463,-2.164,31.627,cero
0.146,0.103,21.942,0.534,21.408,cero
0.136,0.096,20.669,4.870,15.799,cero
0.196,0.140,38.441,3.569,34.872,cero
0.155,0.106,26.203,1.707,24.496,cero
0.092,0.062,12.921,1.002,11.919,cero
0.124,0.081,21.651,2.184,19.467,cero
0.194,0.132,32.591,4.211,28.380,cero
0.146,0.098,20.142,-1.492,21.635,cero
0.192,0.131,30.695,-0.247,30.942,cero
0.186,0.128,28.946,0.129,28.818,cero
0.166,0.110,34.036,4.679,29.358,cero
0.134,0.096,20.597,0.890,19.707,cero
0.119,0.083,17.832,0.686,17.147,cero
0.216,0.152,34.802,-2.213,37.015,cero
0.137,0.095,22.546,1.867,20.679,cero
0.142,0.097,18.896,-3.290,22.185,cero
0.207,0.143,35.676,5.392,30.284,cero
0.183,0.129,25.351,2.794,22.556,cero
0.197,0.137,35.438,5.373,30.065,cero
0.143,0.103,14.843,-1.403,16.246,cero
0.195,0.136,39.197,4.155,35.042,cero
0.204,0.140,33.354,0.602,32.753,cero
0.138,0.095,18.850,4.991,13.859,cero
0.118,0.082,23.506,3.093,20.413,cero
0.207,0.138,32.022,0.890,31.132,cero
0.227,0.157,31.805,1.085,30.720,cero
0.139,0.105,0.485,6.186,-5.701,cero
0.188,0.133,16.357,2.891,13.466,cero
0.173,0.120,32.148,0.925,31.223,cero
0.192,0.133,36.112,3.298,32.814,cero
0.301,0.193,25.175,6.730,18.445,cero
0.245,0.162,44.248,1.711,42.537,cero
0.167,0.113,20.601,-5.546,26.147,cero
0.191,0.130,25.042,-1.466,26.508,cero
0.155,0.110,24.049,2.714,21.335,cero
0.168,0.120,8.919,-2.321,11.241,cero
0.236,0.157,39.717,1.634,38.082,cero
0.201,0.132,20.978,4.450,16.528,cero
0.267,0.171,38.566,3.047,35.518,cero
0.185,0.121,20.013,1.583,18.430,cero
0.147,0.100,23.123,1.423,21.700,cero
0.223,0.149,37.267,3.689,33.579,cero
0.181,0.120,17.745,1.203,16.542,cero
0.180,0.126,30.415,0.575,29.840,cero
0.176,0.123,30.390,2.875,27.515,cero
0.142,0.100,20.856,-2.767,23.623,cero
0.137,0.097,17.010,3.077,13.934,cero
0.157,0.114,9.472,3.655,5.817,cero
0.135,0.097,20.396,-1.698,22.094,cero
0.173,0.118,24.250,-1.284,25.534,cero
0.177,0.121,29.865,0.323,29.542,cero
0.217,0.150,25.806,0.601,25.205,cero
0.143,0.099,23.819,4.247,19.572,cero
0.141,0.097,27.171,1.010,26.162,cero
0.149,0.103,25.643,-1.595,27.238,cero
0.189,0.128,32.671,7.709,24.962,cero
0.155,0.107,28.819,2.715,26.104,cero
0.181,0.124,26.591,0.743,25.848,cero
0.236,0.158,41.002,2.242,38.760,cero
0.192,0.133,36.429,5.722,30.707,cero
0.263,0.174,19.461,7.484,11.977,cero
0.112,0.077,22.242,6.163,16.079,cero
0.170,0.118,28.897,7.106,21.792,cero
0.213,0.143,38.828,4.402,34.426,cero
0.216,0.147,30.930,-1.706,32.636,cero
0.196,0.132,24.461,0.603,23.858,cero
0.162,0.114,34.560,5.053,29.507,cero
0.237,0.158,41.981,3.114,38.867,cero
0.133,0.093,18.787,0.921,17.865,cero
0.197,0.137,34.477,3.884,30.593,cero
0.217,0.149,34.989,2.666,32.323,cero
0.160,0.111,25.176,-0.128,25.304,cero
0.226,0.151,40.633,4.407,36.227,cero
0.219,0.147,37.896,6.066,31.831,cero
0.158,0.110,28.505,1.702,26.803,cero
0.135,0.093,18.378,5.252,13.126,cero
0.235,0.156,42.962,4.436,38.526,cero
0.109,0.074,19.380,0.247,19.134,cero
0.250,0.164,42.029,4.593,37.436,cero
0.258,0.165,39.256,2.488,36.768,cero
0.084,0.055,18.783,-0.008,18.790,cero
0.145,0.099,25.085,0.472,24.614,cero
0.180,0.123,22.093,-2.973,25.067,cero
0.128,0.087,12.324,-2.839,15.163,cero
0.179,0.126,33.628,3.060,30.569,cero
0.145,0.104,15.879,4.033,11.846,cero
0.193,0.129,28.591,2.607,25.984,cero
0.215,0.150,31.140,5.437,25.703,cero
0.118,0.082,18.647,-2.084,20.731,cero
0.209,0.141,38.380,1.737,36.642,cero
0.139,0.097,26.851,2.101,24.751,cero
0.140,0.100,14.667,1.368,13.300,cero
0.180,0.125,22.993,0.632,22.361,cero
0.142,0.100,17.065,3.929,13.136,cero
0.195,0.133,24.708,3.091,21.617,cero
0.091,0.064,1.562,3.071,-1.509,cero
0.174,0.120,21.181,-3.076,24.257,cero
0.187,0.128,31.977,0.305,31.672,cero
0.268,0.173,43.667,4.641,39.026,cero
0.154,0.115,25.168,3.029,22.140,cero
0.164,0.113,24.857,-1.196,26.053,cero
0.172,0.120,23.533,0.460,23.073,cero
0.219,0.149,32.593,2.508,30.085,cero
0.175,0.119,29.386,0.253,29.132,cero
0.176,0.124,22.214,-2.507,24.721,cero
0.094,0.067,6.445,2.179,4.266,cero
0.200,0.134,29.331,-2.286,31.617,cero
0.167,0.115,29.340,0.082,29.258,cero
0.180,0.125,30.805,0.942,29.863,cero
0.142,0.108,13.281,0.560,12.721,cero
0.162,0.115,26.474,0.962,25.512,cero
0.215,0.146,32.545,0.463,32.081,cero
0.125,0.083,15.259,-0.020,15.279,cero
0.193,0.131,37.238,1.651,35.586,cero
0.160,0.112,26.145,3.066,23.079,cero
0.202,0.140,36.720,4.260,32.459,cero
0.213,0.143,31.457,-0.656,32.114,cero
0.145,0.104,24.956,3.957,20.998,cero
0.132,0.092,13.928,-0.459,14.387,cero
0.186,0.129,35.364,1.261,34.103,cero
0.177,0.124,38.948,9.300,29.649,cero
0.206,0.140,35.957,1.543,34.415,cero
0.112,0.083,-3.032,2.760,-5.792,cero
0.192,0.132,32.061,2.781,29.279,cero
0.172,0.119,31.990,1.089,30.901,cero
0.182,0.125,33.455,2.642,30.814,cero
0.192,0.135,36.613,2.549,34.063,cero
0.218,0.149,35.848,3.700,32.149,cero
0.190,0.129,33.530,1.616,31.914,cero
0.174,0.122,36.129,3.120,33.008,cero
0.082,0.054,11.239,-1.585,12.824,cero
0.216,0.146,37.185,-0.743,37.928,cero
0.222,0.153,37.190,5.191,31.999,cero
0.226,0.149,28.615,-2.089,30.705,cero
0.208,0.141,32.439,-0.347,32.786,cero
0.175,0.118,12.892,8.394,4.498,cero
0.162,0.111,25.642,5.495,20.147,cero
0.086,0.055,9.895,1.190,8.706,cero
0.150,0.102,26.285,2.498,23.787,cero
0.228,0.152,30.621,0.492,30.129,cero
0.206,0.139,35.097,2.777,32.320,cero
0.155,0.108,28.931,1.240,27.691,cero
0.256,0.168,41.335,5.696,35.639,cero
0.187,0.132,22.941,0.680,22.261,cero
0.182,0.127,34.032,3.583,30.449,cero
0.185,0.126,24.672,1.053,23.619,cero
0.171,0.122,11.798,1.134,10.665,cero
0.186,0.130,29.867,4.298,25.569,cero
0.168,0.117,30.237,1.157,29.080,cero
0.142,0.098,24.438,1.206,23.232,cero
0.074,0.048,7.545,2.986,4.560,cero
0.072,0.050,13.825,7.067,6.757,cero
0.193,0.133,34.428,1.361,33.067,cero
0.243,0.157,38.500,0.960,37.540,cero
0.253,0.165,38.143,1.643,36.500,cero
0.151,0.107,22.134,-0.728,22.862,cero
0.143,0.100,20.567,-2.569,23.136,cero
0.227,0.152,34.019,2.530,31.489,cero
0.129,0.092,21.048,0.676,20.372,cero
0.164,0.113,22.460,0.920,21.539,cero
0.240,0.161,38.058,1.713,36.346,cero
0.188,0.131,7.734,7.010,0.724,cero
0.234,0.154,34.515,1.220,33.295,cero
0.196,0.137,37.222,9.248,27.974,cero
0.193,0.132,35.219,4.797,30.422,cero
0.253,0.168,39.474,4.119,35.354,cero
0.105,0.073,17.998,4.703,13.295,cero
0.110,0.079,6.294,-1.557,7.851,cero
0.179,0.123,18.755,-1.255,20.010,cero
0.299,0.189,45.971,5.358,40.612,cero
0.111,0.078,23.354,4.165,19.189,cero
0.274,0.177,41.532,1.344,40.187,cero
0.184,0.129,23.834,2.634,21.200,cero
0.240,0.158,28.874,1.957,26.917,cero
0.130,0.093,14.648,2.662,11.986,cero
0.123,0.083,11.574,-1.896,13.470,cero
0.206,0.140,32.193,-0.571,32.764,cero
0.196,0.135,26.225,-2.348,28.573,cero
0.138,0.094,26.784,1.561,25.223,cero
0.229,0.155,31.718,-2.281,33.999,cero
0.201,0.136,22.229,-4.571,26.800,cero
0.267,0.175,31.502,4.748,26.754,cero
0.207,0.143,32.052,-0.698,32.751,cero
0.222,0.151,33.986,1.845,32.141,cero
0.205,0.138,38.817,2.469,36.348,cero
0.110,0.076,23.257,3.164,20.094,cero
0.206,0.140,35.061,4.555,30.506,cero
0.087,0.059,11.047,2.609,8.437,cero
0.210,0.144,32.247,-2.247,34.495,cero
0.158,0.112,29.952,-0.379,30.331,cero
0.200,0.135,30.437,-2.729,33.166,cero
0.193,0.134,27.874,-1.045,28.919,cero
0.151,0.104,19.989,1.279,18.710,cero
0.163,0.116,21.468,5.716,15.752,cero
0.224,0.150,27.320,-2.110,29.429,cero
0.176,0.122,22.641,-3.334,25.974,cero
0.117,0.080,15.551,-1.291,16.842,cero
0.184,0.124,36.095,2.584,33.511,cero
0.199,0.137,39.482,2.668,36.815,cero
0.157,0.121,13.542,-4.246,17.788,cero
0.242,0.160,37.007,-0.583,37.590,cero
0.170,0.122,13.171,3.203,9.968,cero
0.174,0.124,17.423,1.777,15.646,cero
0.230,0.156,38.317,8.969,29.348,cero
0.159,0.114,22.748,2.968,19.780,cero
0.167,0.119,22.088,1.918,20.170,cero
0.152,0.109,10.090,1.858,8.233,cero
0.202,0.147,36.434,4.794,31.640,cero
0.173,0.118,32.300,1.068,31.232,cero
0.172,0.122,9.428,3.796,5.632,cero
0.082,0.053,9.805,-0.266,10.071,cero
0.101,0.068,16.262,1.593,14.669,cero
0.191,0.130,33.566,2.431,31.135,cero
0.159,0.112,17.618,0.043,17.575,cero
0.165,0.115,24.648,3.471,21.178,cero
0.157,0.109,21.496,-1.556,23.052,cero
0.117,0.083,21.099,2.589,18.510,cero
0.149,0.107,7.594,2.161,5.432,cero
0.159,0.113,12.011,1.972,10.038,cero
0.131,0.092,9.065,-2.207,11.271,cero
0.164,0.111,29.604,2.167,27.437,cero
0.110,0.076,17.359,3.982,13.377,cero
0.218,0.149,32.146,5.976,26.170,cero
